name,latitude,longitude,phone,address,emergency
Surbhi hospital,28.6491348,77.2164415,,15 Qutab Road,
Tamish,28.699593,77.1045409,,12 Sector 22,
Unnamed,28.446227,77.0613212,01244555788,"b-1, green wood city, sector -45",
"Metro Hospital and Heart Institute, Gurgaon",28.518174,77.0388234,,,
Chandiwala Institute of Eye,28.544205,77.2659895,+91-11-4902-0242;+91-11-4902-0243;+91-11-4902-0244;+91-11-4902-0228,,
Pushpawati Singhania Hospital and Research Institute,28.53312,77.2254277,,,
Savera Hospital,28.6884962,77.1222079,,,
Gamca,28.5703187,77.2369366,,Cinema Road,
السكن,28.4460767,77.0615689,,,
Asha kiran mental hospital,28.7028126,77.0958863,,,
Unnamed,28.6438892,77.1387433,,,
Sharp Sight Center,28.6403964,77.2934473,,Vikas Marg,
Bhagat Chandra Hospital,28.5934549,77.0816478,,Dabri Road,
Adiva Hospital,28.5583994,77.2064208,,,
Guru Harkishan Hospital,28.5821004,77.2641583,,,
Sir Ganga Ram Kolmet Hospital,28.643492,77.187296,1145099999,,
Cygnus Orthocare Hospital,28.5460823,77.1973263,,,
Apollo Spectra Hospitals,28.5555937,77.2412436,,,
Max Multi Speciality Centre,28.5434575,77.214298,,,
Unnamed,28.4065208,77.3179232,,Sector - 16 A Rd,
Balhara's Le Cure Hospital,28.5097683,77.2014454,+91-011-3232-9996;+91-93109-40099,,
Mangalam Hospital,28.6228832,77.2966806,,,
Fortis C-DOC Hospital,28.5469888,77.2494873,,B-16,
Tirath Ram Hospital,28.666922,77.3178057,,,
Doctor Rajendra Prasad Centre for Opthalmic Sciences,28.5667966,77.2088857,,,
Safdarjung H back gate,28.5663672,77.207556,,,
ESIC Hospital,28.5143778,77.2815719,,,
City Hospital,28.6439995,77.1912841,,,
Rural Medical Centre,28.5158966,77.1965361,+91-11-2953-4031;+91-11-2953-6833,Khasra Number 242,
Dr. Bhimrao Ambedkar Multispeciality Hospital,28.576653,77.3376879,,,
Institute of Brain and Spine,28.5656044,77.2442543,,,
Anahat Hospital,28.4832404,77.1071305,,,
Saral Diagnostics,28.6944136,77.1287968,,Maharishi Parshuram Marg,
Sama Hospital,28.5544846,77.2270262,,8 Siri Fort Road,
Unnamed,28.4349952,77.0352265,,,
Apollo,28.5403869,77.2829628,,,
National Institute of TB and Respiratory Diseases,28.529118,77.1900425,1.13E+42,,
Narang Hospital,28.6460854,77.0980297,,,
Manchanda Hospital,28.4943675,77.1836992,,,
Paschim Vihar West,28.67852,77.0997686,,A1/10 Ground floor Rohtak Road,
World Brain Center Hospital,28.6121754,77.0886731,,,
Max Medcentre,28.5645418,77.2399229,,,
Mehta Hospital,28.523344,77.2312921,,,
Unnamed,28.6581566,77.1940384,,,
Diyos,28.5660178,77.1946519,,,
Aakash Hospital,28.5350359,77.2148651,,,
Sarvodya Hospital,28.4772418,77.0164105,,,
"Saraswati Hospital, Gurgaon",28.4686477,77.0382518,,,
"Shree Krishna Hospital, Gurgaon",28.4733303,77.003265,,,
"Sharma Hospital, Gurgaon",28.4618014,77.027472,,47/5,
Shri Balaji Hospital and Trauma Center,28.4409108,76.980076,,,
Shri Balaji`S Multispeciality Hospital,28.4577278,76.9909818,,,
Saras Hospital,28.4871984,77.3124513,,,
Arogya Dham Hospital,28.4647772,77.2990698,,,
"Anand Hospital, Gurgaon",28.42578,77.09168,,,
Navjeevan Hospital and Maternity Centre,28.4571607,77.0143104,,,
Sethi Hospital,28.4565865,77.0207731,,,
"Surgicare Hospital, Gurgaon",28.4272365,77.0940806,,,
Park Hospital Gurgaon,28.4201363,77.0487258,7503141435,,
"Sunrise Hospital, Faridabad",28.5769233,77.2660263,,,
Pasricha Hospital and Maternity Home,28.4568812,77.0222792,,,
Dayal Eye & Maternity Centre,28.4559386,77.0374082,,,
"Mittal Hospital, Faridabad",28.4088045,77.3238024,,,
Shubham Hospital,28.4567439,77.0210648,,,
"Kalyani Hospital, Gurgaon",28.4678366,77.0422697,,,
Sanskar Hospital,28.4715009,77.3204935,,,
Chandrawati Child and Maternity Hospital,28.4161414,77.3163016,,,
Uma Sanjeevani Health Centre And Hospital,28.4814867,77.0863196,,,
Privat Hospital,28.4797951,77.0746909,,Mehrauli-Gurgaon Road,
Vandana Hospital and Research Center,28.6933769,76.9256393,,,
Geeta Hospital,28.4362993,77.3144785,,,
"Shivalik Hospital, Faridabad",28.4799532,77.3110379,,,
Delhi Hospital and Nursing Home,28.6903242,76.9415506,,,
"Sidhesh Hospital, Gurgaon",28.4752436,77.0824251,,,
"Sharma Nursing Home, Faridabad",28.4012837,77.3064146,,,
Chiranjiv Hospital,28.4644545,77.0187361,,,
Asian Institute of Medical Sciences,28.4259429,77.3000225,,,
"Shivam Hospital, Jhajjar",28.7017934,76.9397205,,,
"Kalyan Hospital, Gurgaon",28.5061017,77.0222524,,,
"Sangwan Hospital, Gurgaon",28.4749937,77.0561126,,,
S.R.S. Hospital and Critical Care Unit,28.4033015,76.9881588,,,
Anand Eye Hospital,28.4269594,77.3189986,,,
Umkal Hospital,28.4715295,77.0733096,,,
Thukral Hospital,28.4814348,77.0653957,,,
"Triveni Hospital, Gurgaon",28.463775,77.022188,,207/13 Old Railway Road,
Taneja Hospital,28.4663216,77.0138611,,,
"Pushpanjali Hospital, Gurgaon",28.4500967,77.0327827,,John Hall Road,
Yashroop Medical Centre,28.4822505,77.0214477,,,
Chirag Hospital Pvt. Ltd,28.4953531,77.0114095,,,
Fortis Memorial Research Institute / Fortis Vivekanand Hospital,28.4567857,77.0728657,,,yes
"Lotus Hospital, Gurgaon",28.4692855,77.034447,,,
Aastha Children Hospital,28.4717765,77.3112819,,,
"Sparsh Hospital, Gurgaon",28.4701296,77.0226856,,,
Mangalam Hospital and Heart Centre,28.4539854,77.0139308,,,
Ahuja Hospital and Maternity Home,28.4120448,77.328397,,,
"Shivam Hospital, Gurgaon",28.4574704,77.0536983,,,
"Rajiv Memorial Eye Infirmary, Jacobpura",28.4624763,77.0276631,,14/5,
Brahm Shakti Sanjivani Hospital Pvt Ltd,28.6909441,76.9388317,,,
"Sneh Hospital, Gurgaon",28.4823666,77.0141546,,,
Ayushman Hospital And Trauma Centre,28.4379095,77.0110461,,,
Aryan Hospital,28.469559,77.0195045,,,
Rama Hospital & Nursing Home,28.4567256,77.0230785,,,
Jain Sant Phool Chand Ji Charitable Hospital,28.4771569,77.0158929,,,
Abhinav Hospital,28.4104443,77.2921107,,,
Kathuria Hospital,28.4534132,77.0199907,,,
Tirath Ram Hospitals Pvt Ltd,28.457085,77.0201597,,,
"Mission Hospital, Jhajjar",28.6877184,76.9524703,,,
Sakthi Kerala Ayurvedic Treatment Centre,28.4162852,77.3112387,,,
Lall Nursing and Maternity Home,28.4667802,77.027307,,,
"Centre For Sight, Gurgaon, New Railway Road",28.4682869,77.0260289,,,
"Satyam Hospital, Gurgaon",28.4609572,77.0180051,,,
Valencia Emergency and Criti Care,28.4802878,77.3143262,,,
Dr Sethis Amar Hospital,28.8795874,76.9109662,,,
Aar Pee Hospital,28.4284301,77.3165712,,,
Ahooja Eye and Dental Institute Hospital,28.4639141,77.0305404,,,
Lall Eye Care Centre,28.4667015,77.0272123,,,
Verma E.N.T. Hospital,28.4652069,77.0280714,,,
"Gupta Hospital, Gurgaon",28.4644246,77.0268832,,,
Jackson Hospital,28.4691487,77.0286816,,,
"Apollo Cradle Hospital,Gurgaon",28.4786458,77.0474356,,,
Sukhmani Hospital Pvt. Ltd,28.4342254,77.0481464,,,
"R K Hospital, Gurgaon",28.4930865,77.0088346,,,
"Parijat Hospital, Faridabad",28.4429744,77.3043148,,,
Pdm General Hospital / Pd Memorial General Hospital,28.6894112,76.8908188,,,
Kamla Hospital,28.446446,76.9915827,,,
M Goel Hospital,28.4675082,77.027738,,,
Sunrise Hospital,28.4428341,77.0106183,,,
Rajendra Hospital,28.4495431,77.0211279,,,
Sri Rattan Singh Memorial Hospital,28.7053628,76.9377212,,,
Kriti Hospital,28.4249603,77.093567,,,
"Centre For Sight, Faridabad",28.4116998,77.3148374,,,
"Jeevan Jyoti Hospital, Gurgaon",28.4763789,77.0350291,,,
Dr.Dilip Hospital,28.4321321,77.3191256,,,
"Aastha Hospital, Bahadurgarh",28.6886312,76.9342183,,,
Samvit Health Care,28.4350285,77.0351672,,,
"Yadav Hospital, Gurgoan",28.4432185,77.0031618,,,
Arogyadham Hospital,28.4636559,77.2924554,,,
Nangia Hospital Ent and Maternity,28.4558195,77.0218735,,,
Anuj Hospital,28.4159768,77.3209988,,,
"Jeevan Jyoti Hospital, Jhajjar",28.6892159,76.9476253,,,
Vinayak Hospital,28.4543386,77.0214859,,,
Arunodaya Deseret Eye Hospital,28.4277743,77.1087643,,,
Lord Krishna Hospital,28.4785067,77.0854291,,,
Dr Fateh Singh Hospital,28.6471512,77.3412971,,,
Mata Sumitra Devi Hospital,28.5779214,77.0239288,,,
Arihant Hospital,28.4486051,77.0824411,,,
Brighton Kavita Hospital,28.4339836,77.3208117,,,
Ahmed Hospital Multi Speciality,28.4580332,77.0412478,,,
Aarvy Hospital,28.457393,77.0300911,,530/18,
Shri Ram Memorial Hospital,28.4936346,77.099508,,,
Lohan Children Hospital,28.4013325,77.3058261,,,
K.B Hospital,28.4169126,77.2903019,,,
Sikka Maternity And Surgical Center,28.4784222,77.0991004,,,
Vaishnavi Nursing Home,28.4385723,77.0131141,,,
"Mamta Hospital, Gurgaon",28.469724,77.0338102,,,
M.S Hospital,28.4640593,77.0218559,,Old Railway Road,
Parnami Ortho and Spine Hospital,28.8793596,77.1211427,,,
Bhardwaj Hospital,28.4901894,77.0068324,,,
"Jeewan Jyoti Hospital, Faridabad",28.4020269,77.324825,,,
Parashar Hospital,28.4539324,77.0204298,,,
Carewell Hospital,28.4339848,77.3211242,,,
Chandni Hospital,28.4163407,77.3197979,,,
Vandana Surgical and Maternity Home,28.4100982,77.2920538,,,
"Government District Hospital, Gautam Buddha Nagar",28.5770068,77.3394731,,,
Gopal Hospital,28.7258364,77.2893602,,,
Aasha Deep Hospital,28.6875033,77.3394397,,,
S.S. Medicare Centre,28.6661429,77.3310229,2622923,,
Icare Eye Hospital And Post Graduate Institute Glaucoma Research Centre,28.5799524,77.3355089,,,
R K Medicare,28.6267789,77.3483944,,,
Getwell physiotherapy center,28.6921759,77.3416096,,,
Sparsh Multispeciality Hospital,28.6927335,77.3397857,,,
"Meenakshi Hospital, Ghaziabad",28.642142,77.3257148,,,
Vinayak Hospital,28.5711965,77.3280893,,,
"Tewari Eye Centre, Vaishali",28.6463402,77.3470599,,,
Dharampal Memorial Hospital - Ghaziabad,28.7486784,77.2862246,,,
Sarvodaya Hospital and Trauma Centre,28.6449508,77.3391154,,,
"Shivam Hospital, Gautam Buddha Nagar",28.6098891,77.3467249,,,
Ajit Surgical and Maternity Centre,28.5982422,77.3389501,,,
Metro Heart Institute and Metro Multi Speciality Hospital,28.5974067,77.336034,,,
Diveeksha Eye clinic,28.5830991,77.3351213,,"E 149,SECTOR 20 SECTOR 20",
Max Hospital,28.5742086,77.3229977,,,
"Apollo Hospitals , Noida",28.5794754,77.3349001,,,
"Parakh Hospital, Ghaziabad",28.6934335,77.3396918,,,
Pulse Medicare,28.6405677,77.3412821,,,
City Hospital - Ghaziabad,28.7387381,77.3143986,,,
Metro Hospitals and Heart Institute (Cardiology Wing),28.5973899,77.3379467,,,
Swami Nand Lal Jee Hospital Pvt Ltd,28.6937758,77.3447263,,,
Indo Gulf Hospital & Diagnostics,28.5771885,77.3272443,,,
Vaishali Health Clinic,28.6376181,77.3385546,,,
City Hospital,28.596142,77.343176,,,
"Kamal Hospital, Ghaziabad",28.6446849,77.3253943,,,
Metro Hospital and Heart Institute,28.5647231,77.2437868,,,
AIIMS Emergency,28.567441,77.2096335,,,yes
CRPF Composite Hospital,28.6390663,76.9572897,25315363,,
Doctor Grover's Nursing Home,28.6284133,77.1469129,,,
Sushruta Trauma Centre,28.6797783,77.2283852,1123983011,,
Bharti Nursingh Home,28.5874217,77.0702439,25075530,,
Dr B R Sur Homoeopathic Medical college and Hospital,28.5862718,77.1684265,011-24105298,,
Orthoplus Hospital,28.6139007,76.976352,28012195,,
"Vardhman Mahavir Medical College (VMMC) & Safdarjung Hospital, New Delhi",28.5685701,77.2064068,011-26707282; 011-26265060,,
Prem Chiktsa Kendra,28.5739982,77.1773627,011-26195636,,
Shree Dhanvantri Hospital,28.6121179,76.9756046,66358310,,
Kalawati Saran Children's Hospital,28.6357652,77.2110664,011 2334 4147,,
"Sports Injury Centre, Safdarjung Hospital (Part of SJH), New Delhi",28.5681531,77.2054264,011-26181908,,
Maulana Azad Institute of Dental Sciences,28.6371532,77.236999,1123239279,,
Divya Prastha Hospital,28.5862424,77.0875445,2536 5960,,
Attar Sain Jain Hospital,28.6821792,77.1502237,1127188342,,
Satyawadi Raja Harish Chander Hospital,28.840596,77.1032565,1127787304,,
Charak Palika Hospital NDMC,28.5853147,77.1770243,011-24156218,,
Kesar Nursing Home Dabri,28.6089466,77.1008845,28523683,,
Chacha Nehru Bal Chikitsalaya,28.653163,77.268342,1121210215,,
Maharishi Valmiki Hospital,28.775826,77.048597,1127761522,,
Medeor Hospital,28.5964391,77.0457328,4822 2222,,
Shakuntla Nursing Home Sagarpur,28.6081283,77.0952919,25383171,,
Malik Maternity Home and Surgical Centre,28.6154991,76.982911,25324692,,
"Government Hospital, Jawalapuri",28.674566,77.080093,25266491,,
Central Hospital (Northern Railways),28.6365867,77.2173905,011- 2334 4092,,
Singhal Hospital Palam Colony,28.5882997,77.0887312,25055191,,
Doctors Diagnostic Centre Najafgarh,28.6145619,76.9844782,2501 4099,,
Lady Hardinge Medical College & Associated Hospitals,28.634138,77.212909,1123363728,,
Free Maternity & Child Welfare Centeri,28.6472649,77.2308534,+91 23272611,3870 Sarak Prem Narain,
Kaya Kalp Hospital,28.7305663,77.2100401,011-27614600,,
Sunder Lal Jain Eye Hospital,28.6495013,77.2098206,1123671231,,
Aman Medical Centre,28.5216502,77.1812935,011 2664 5113,,
Navjeevan Nursing Home,28.653289,77.2780809,011-22547684,,
Kasturba Hospital,28.649831,77.2359282,23275023,,
Mayur Medicare Center,28.6060579,77.2933797,,,
Sukhmani Hospital,28.5597233,77.2005001,011 2619 4000,,
Vardaan Hospital,28.5372268,77.2149447,26689911,,
VMMC & SAFDARJANG HOSPITAL,28.5686672,77.2067292,1126165060,,
Leekha Nursing Home,28.5520278,77.2080381,2659203,,
Kukreja Hospital,28.6092197,77.2948507,,,
Bhagwati Hospital,28.5241613,77.1788654,011 2664 3304,,
Sparsh Mother & child care hospital,28.6801482,77.1945449,1123853011,,
Medeor Hospital,28.5374555,77.1810712,47667100,,
NGO Lok Kalyan Samiti,28.629808,77.2387009,23235505,,
Parmarth Mission Hospital,28.6810176,77.1979673,011-23842300,,
Aruna Asaf Ali Government Hospital,28.6697661,77.2178501,23965532,,
Raj Rani Hospital,28.6138358,77.3233982,,,
Dr. N. C. Joshi Memorial Hospital,28.6529654,77.1994853,011-2362 2498,,
Malhotra Nursing Home,28.6197989,77.3039095,,,
Shree Jeewan Hospital,28.6579998,77.1943948,23511474,,
Mohan Eye Institute,28.6431266,77.1906871,1125787655,,
Navjoyti Eye Centre,28.6435226,77.2424612,23280018,,
Mahesh Hospital,28.6264544,77.3023362,,,
Jag Pravesh Chandra Hospital,28.6764665,77.262937,22184453,,
Healing Touch Hospital,28.5427709,77.2073754,011 4727 2800,,
Gouri Hospital Ltd,28.6796305,77.20819,011-23854735,,
Malik Nursing Home,28.6094473,77.3343703,,,
Sanjivini Nursing Home,28.6814911,77.2007198,011-23843234,,
Sharma Medical Center,28.6494565,77.209831,011-23651395,,
Sunil Hospital and Nursing Home,28.5358718,77.2091623,1126680247,,
Mohan Nursing Home & Hospital,28.702744,77.267766,22914478,,
Vibhu Nursing Home,28.5347579,77.2083916,2668 3681,,
Satyam Medical Centre,28.5412998,77.1864475,1141688372,,
Tirath Ram Shah Hospital,28.6708223,77.2162565,1123972487,,
Sankhwar Hospital,28.6151295,77.3237989,,,
Neera Eye Centre,28.6424432,77.2427645,1123270775,,
Mahavir International Eye Hospital,28.6598583,77.2157522,1123510770,,
Nazar Kanwar Surana Hospital,28.6752381,77.1907591,011-23640951,,
Savitri Hospital,28.686033,77.1471281,,,
MH Haiderpur,28.7235001,77.1515703,27492760,,
Kuber Hospital,28.6900528,77.1357109,27352931,,
Children & Maternity Centre,28.7334154,77.1261114,27852066,,
"Max Multi Speciality Centre, Pitampura",28.6931702,77.1517793,+91 47351844,,
Dr BD Attam Hospital and Medical Research Centre,28.6960546,77.1734959,27220564,,
Fortis Bloom,28.5287785,77.2437938,,,
Gupta Nursing Home,28.6759254,77.2876085,22322218,,
Kamaal Nursing Home,28.6798998,77.2718597,2219 8308,,
Muni Maya Ram Jain Hospital,28.700019,77.141187,27317401,Pitampura,
jp memorial,28.6845119,77.3296536,22354050,,
Medha Hospital,28.7045697,77.1449278,27323960,,
Sai Charitable Dispensary & Nursing Home,28.6893425,77.3003113,22584220,,
Saroj Hospital,28.7061564,77.1290461,27903333,Nr Madhuban Chowk,yes
MCD Maternity Government Hospital,28.7113776,77.1176777,27044007,,
Arora Nursing Home,28.7141757,77.1528872,27488756,,
Jiwan Charitable Hospital,28.6897352,77.0858096,27916689,,
Karala Government Hospital,28.7321173,77.037425,,,
Government Hospital,28.668361,77.277492,,,
Jeevan Jyoti Hospital,28.5223738,77.2855634,011-26811400,,
Chandiwala Hospital Shahdara,28.6750114,77.2904545,22597918,,
Upchar Nursing Home,28.6975051,77.1772633,27210012,,
Talwar Medical Centre,28.5363921,77.2441716,1143794200,,
Manav Medicare Centre,28.5706874,77.2199599,011 2469 0655,,
Kesar Hospital,28.7059502,77.1644781,27472002,,
st. stephen hospital,28.6939954,77.3171197,23956123,,
Garg Nursing Home,28.6790286,77.157259,27392112,,
Santom Hospital,28.7140205,77.1383483,+91 11 2756 1024,,
"Manna Clinic & Maternity Home, Rani Bagh",28.6857157,77.1315855,27022763,,
Prashant Nursing Home,28.7148991,77.1326764,27564555,"Kalratri Mata Road, Prashant Vihar, Rohini Sec 14",
Sai Drishti Maternity Centre,28.7313713,77.1251957,,,
IG ESI Hospital,28.6665856,77.3111297,22151329,,
Hakeem Abdul Hameed Centenary Hospital,28.5149753,77.2519382,,,
Vallabh Hospital,28.5323573,77.2659687,,,
Red Cross Hospital Society Mat. Welfare and Child Care Hospital,28.678117,77.3225828,22118752,,
Phoenix Hopsital,28.5500671,77.2440346,011 4686 3800,,
Rashmi Hospital,28.7025469,77.1473691,,,
Bhagwan Mahavir Super Speciality Hospital,28.7057477,77.1294721,+91-11-2755-0441;+91-11-4993-4042,Bhagwan Mahavir Marg Rohini,
Jhamb Maternity and Medical Centre,28.7090339,77.1540084,27476609,,
Capital Eye Centre,28.6874142,77.1928254,27450440,,
Bhagwati Hospital,28.7191521,77.1295373,27868935,,
Tondan hospital,28.6664871,77.3207024,22152947,,
Primary Urban Health Centre Cum Maternity Home & Poly Clinic,28.513195,77.2652745,,,
North Delhi Nursing Home,28.696547,77.179557,27422131,,
shanti nursing home LLP,28.6779567,77.2825741,22821629,,
Banarsidas Chandiwala Insitute of Medical Sciences,28.5441942,77.2676793,011 40116138,,
Family Hospital,28.7013032,77.0983471,27517874,,
Kumar Medical & Maternity Centre,28.7041641,77.160742,27479410,,
Parivar Sewa Sansthan,28.5672773,77.2473565,,,
MCW Sewa Nagar,28.577053,77.226043,,,
Brahm Shakti Hospital,28.712357,77.081262,27537967,,
Sona Maternity and Nursing Home,28.6656992,77.2906128,2230 1366,,
DGD Vivek Vihar,28.6696193,77.3190619,22151292,,
D.R. Nursing Home,28.6963486,77.1730105,27229394,,
Netrayatan Hospital,28.5299782,77.2451946,011 - 2921 2828,,
MCW Giri Nagar,28.540349,77.262854,011-26293641,,
Kanta Sethi Hospital,28.7012483,77.0988184,27525262,,
Delhi Common Wealth Women Association,28.5556776,77.2369473,011-29237878,,
Kalyan Nursing Home,28.6814958,77.3283939,22351292,,
best care hospital,28.68452,77.3278636,22354132,,
Maheshwari Hospital,28.7122011,77.1419875,27341460,,
Airforce Hospital,28.4353706,77.0234423,,,
Government Hospital Feroj Pur Bangar,28.83005,76.982361,,,
GH Gurgaon,28.474246,77.027117,,,
Civil Hospital Bahadurgarh,28.696657,76.923954,,,
Civil Hospital Kanonda,28.7660711,76.9308597,7027814809,,
Civil Hospital Sisana,28.897556,76.8540451,,,
"Esic Hospital, Gurugram",28.4681022,77.0013592,,,
Government Hospital Chirodi,28.7792015,77.3337869,,,
NDMS Park,28.4851071,77.1938033,,,
PGH Hospitals,28.636193,77.048981,,,
Sanjivani Hospital,28.674249,77.0502678,,,
Saraswati Hospital and Laproscopic Centre,28.626424,77.009835,,,
Kalra Hospital,28.6551825,77.1387304,,,
MKW Hospital,28.6392919,77.119633,,,
UK Nursing Home,28.634107,77.076458,,,
Goyal Hospital,28.6616551,77.0853346,,,
Aakash Healthcare Super Speciality Hospital,28.6054061,77.0535572,,,
Care n Cure 24,28.653375,77.0726925,,,
Sunand Hospital & IVF Centre,28.618746,77.0480879,,,
Medstar Hospital,28.6590574,77.0907424,,,
Karuna Sindhu Charitable Hospital,28.6557378,77.0163489,,,
Government Ayurvedic Hospital,28.6635722,77.1458797,,,
Kiran Das Charitable Hospital,28.6524161,77.0617704,,,
Apollo Cradle Maternity & Children's Hospital,28.6617972,77.1503029,,,
Satyabhama Hospital,28.6769478,77.0634761,,,
Dashmesh Hospital,28.6304061,77.0988531,,,
Sumiti Vishal Charitable Hospital,28.6137065,77.044482,,,
Gandhi Hospital,28.6200029,77.0535384,,,
Khetarpal Hospital,28.652562,77.130018,,,
Hardik Hospital,28.6367362,77.0532022,,,
Mata Chandana Devi Hospital,28.635321,77.0539739,,,
R. Nayyar Hospital,28.6203861,77.0431588,,,
Bagga Nursing Home,28.660249,77.090997,,,
Rao Raghubir Hospital,28.6750507,77.0610089,,,
Surya Laxmi Hospital,28.6322953,77.0499201,,,
Kanojia Hospital,28.6262562,77.012034,,,
Rathi Hospital,28.6514885,77.0315432,,,
Sodhi Nursing Home and ENT Hospital,28.6702118,77.087877,,,
Nijhara Hospital,28.646316,77.165748,,,
Mehra Hospital,28.6711074,77.1276492,,,
Sonia Hospital,28.682627,77.0524348,,,
JankiDas Kapur Memorial Hospital,28.649171,77.151169,,,
Sehgal Neo Hospital,28.658057,77.09143,,,
Mahindru Hospital,28.6206121,77.0495632,,,
Arya Hospital,28.6172035,77.0794442,,,
RLKC Hospital,28.6510947,77.1546934,,,
SR Krishna Hospital,28.61641,77.047023,,,
Bhatia Global Hospital,28.6655435,77.08244,,,
Satya Multi Speciality Hospital,28.6268253,77.039392,,,
Asha Hospital,28.6365818,77.0516082,,,
Jeevan Jyoti Hospital,28.6190592,77.0466915,,,
Bala Ji Hospital,28.6334854,77.0558285,,,
Shri Mahant Gurmukh Singhji Charitable Hospital,28.6739475,77.1352525,,,
R.R.Hospital,28.6278418,77.0126848,,,
Sanjeevani Maternity & Children Hospital,28.6222392,77.0390502,,,
Konarc Hospital,28.6773715,77.0638665,,,
Santosh Hospital,28.6789124,77.0502929,,,
Care New born & Child Hospital,28.6674155,77.1155597,,,
Tarak Hospital India Private Limited,28.619298,77.030036,,,
Jainar Hospital,28.660601,77.0907507,,,
Khushi Hospital,28.607392,77.0491427,,,
Amit Nursing Home,28.6340005,77.1095894,,,
Nanak Darbar Charitable Hospital,28.6520769,77.0615293,,,
Mata Chanan Devi Hospital,28.618749,77.078224,,,
Lotus Hospital,28.626739,77.110763,,,
Aashirwad Nursing Home,28.6379887,77.0520031,,,
Sumitra Hospital,28.6734516,77.1240716,,,
Asi Hospital,28.6561778,77.1334074,,,
Matrchaya Child Care,28.665228,77.08128,,,
Sanchet Hospital,28.6700151,77.0885037,,,
Mata Roop Rani Maggo Hospital,28.6211011,77.0502551,,,
Sai Nursing Home,28.621501,77.081707,,,
Governmentt Eye Hospital,28.6697864,77.0646877,,,
"Goyal Hospital, Nilothi",28.6527464,77.0707603,,,
Gaudham Cancer Ayurvedic Treatment & Research Center,28.67286,77.130852,,,
SRG Hospital,28.6496187,77.0296634,,,
B.M. Gupta Hospital Pvt. Ltd.,28.6195378,77.0613682,,,
Kamlesh Nursing Home,28.6699638,77.0886996,,,
Shubh Nursing Home,28.635346,77.0566637,,,
Sushruta Maternity And Surgical Centre,28.6587906,77.0903999,,,
Dwarika Medicare & Maternity Centre,28.6148521,77.0490279,,,
Jasrotia Hospital,28.6237693,77.1157209,,,
Sanjivani Gynec & Children Hospital,28.6242925,77.0390494,,,
Genesis Hospital,28.620674,77.08125,,,
Ardent Ganpati Hospital,28.6819483,77.0387679,,,
Dhruv Hospital,28.6890276,77.0857544,,,
Dr Suresh Garg - Eye & Laser Hospital,28.671097,77.110835,,,
Mansaram Hospital,28.6723615,77.0588003,,,
Gendox Hospital,28.519682,77.1733997,,,
Vashishta Clinics & Hospital,28.5352441,77.2079327,,,
Sabharwal Hospital,28.6443841,77.2385497,,,
Sunrise Healthcare Centre,28.5452411,77.3001922,,,
Dehli Hospital,28.6418873,77.2450734,,,
Apollo Spectra Hospitals,28.6583838,77.1936638,,,
Luv Kush Hospital,28.724975,77.2687617,,,
K.R. Hospital,28.5074677,77.1848394,,,
Neptune Hospital,28.5324257,77.2026545,,,
Lal Hospital,28.7025443,77.2832977,,,
Alshifa Multispeciality Hospital,28.5570997,77.2929324,,,
Kalindi Hospital,28.5408332,77.2958778,,,
Vasist Hospital,28.701646,77.280317,,,
Orthostar Hospital,28.5083921,77.2314148,,,
Behl Hospital,28.6243272,77.1367669,,,
Yogmaya Multispeciality Hospital,28.4943274,77.1833094,,,
