name,latitude,longitude,phone,address,operator,phone_source
Delhi Police Post (Babarpur),28.6892958,77.2787079,,,Delhi Police,
Unnamed,28.7541865,77.1627448,,,Delhi Police,
Police Station Sushant Lok,28.460703,77.080971,,,,
Railway Police Force Station,28.6452469,77.2188823,,,Delhi Police,
Unnamed,28.6304085,77.2774333,,,Delhi Police,
Police Station Barakhamba Road,28.6308823,77.2253541,,,Delhi Police,
Police station,28.5006344,77.3163336,,,Delhi Police,
All Women police assistance booth,28.549942,77.2507374,,,Delhi Police,
DCP Residence,28.6274655,77.232869,,7 Sikandra Road,Delhi Police,
Police check point,28.5617873,77.2877917,,,Delhi Police,
Police assistance booth,28.6012604,77.2273752,,,Delhi Police,
Gandhi Nagar Police Station,28.6599766,77.2671907,,,Delhi Police,
Unnamed,28.5956693,77.1683104,,,Delhi Police,
Bara Hindu Rao Police Station,28.6657245,77.2080538,,,Delhi Police,
Sabzi Mandi Police Station,28.6689322,77.2073279,+91 11 2382 3161,,Delhi Police,matched_by_location
Crime Against Women Cell,28.6694195,77.2073751,+91 11 2382 3161,,Delhi Police,matched_by_location
Police Chauki,28.401589,77.0053949,,,,
Unnamed,28.4610831,77.2849399,,,,
Delhi Police — Mehrauli,28.5262044,77.1779413,,,Delhi Police,
Keshavpur Sabzi Mandi,28.6515928,77.0881006,,,Delhi Police,
Police Station Mandawali,28.6250464,77.3061809,+91 11 2272 0808,,Delhi Police,matched_by_location
Police Station Madhu Vihar,28.6250657,77.3062871,+91 11 2272 0808,,Delhi Police,matched_by_location
Pink Booth,28.5966453,77.1332471,,,Delhi Police,
Facilitation Kiosk,28.5758546,77.1973707,,,Delhi Police,
Police Booth,28.5757026,77.195241,,,Delhi Police,
Prepaid Auto Service,28.6316262,77.219012,,,Delhi Police,
Tourist Police Booth,28.6420284,77.2182954,,,Delhi Police,
Delhi Police,28.6487676,77.3161693,,,Delhi Police,
G.R.P Police Station Anand Vihar,28.6480027,77.314937,,,Delhi Police,
Police Station Rithala Metro,28.7198672,77.1077634,+91 11 2705 8384,,Delhi Police,matched_by_location
Office Of The Deputy Commissioner Of Police Central District,28.6415133,77.2409554,,,Delhi Police,
Delhi Police,28.6494703,77.2265741,,,Delhi Police,
shalimar garden police chowki,28.6883392,77.3404923,,,,
DCP Shahdara District Office,28.6653684,77.2867347,+91 11 2121 0801,,Delhi Police,matched_by_location
Delhi Police Dog Squad,28.6554103,77.298339,,,Delhi Police,
Unnamed,28.591667,77.0417182,,,Delhi Police,
Integrated Facilitation Booth,28.6050112,77.1269382,,,Delhi Police,
Integrated Facilitation Booth,28.5892018,77.1691272,,,Delhi Police,
South Campus Police Station,28.5796397,77.1760286,,,Delhi Police,
Kailash Colony Market Integrated Facilitation Booth,28.5528334,77.2411483,,,,
Unnamed,28.5588883,77.2442795,,,,
Welcome Metro Station Integrated Facilitation Booth,28.6725287,77.2761129,,,Delhi Police,
Swami Dayanand Hospital Police Booth,28.6778818,77.3032989,,,Delhi Police,
Unnamed,28.4989184,77.2140888,,,,
"Integrated police booth, Model Town",28.7074219,77.1798446,,,,
Unnamed,28.5356392,77.2917074,,,,
Police Station Pandav Nagar,28.6201262,77.3027366,+91 11 2278 0100,,Delhi Police,matched_by_location
Bharola Police Post,28.7159166,77.1705927,,,,
Integrated Police Booth,28.7225762,77.1649585,,,,
Kotla Mubarakpur Police Station,28.5759348,77.2251127,,,,
Jaitpur Thana,28.5037996,77.3193324,,,,
Assistant Comissioner of Police DLF Subdivision Gurugram,28.4513374,77.0954743,,,,
Assistant Comissioner of Police Cyber Crime Gurugram,28.4513903,77.0954882,,,,
Unnamed,28.7181571,77.1268184,+91 11 2755 7184,,,matched_by_location
Adarsh Nagar Police Station,28.7098594,77.1752464,+91 11 2767 4452,,,matched_by_location
Delhi Police Headquarters,28.6253997,77.212071,,,,
Civil Lines Police Station,28.6890673,77.2215343,,,,
Metro Walk,28.721911,77.1111954,,,,
"CYBER POLICE STATION, EAST DISTRICT",28.6129295,77.3098433,,,,
Police Booth Model Town,28.7062721,77.1905813,,,,
Integrated Facilitation Booth,28.573737,77.2096762,,,,
Police Station Rani Bagh,28.697606,77.1192353,,,,
Integrated Police Facility,28.5684153,77.2206958,,,,
Public Facilitation Booth,28.6331466,77.2195152,,,,
Moti Nagar Police Station,28.6604512,77.1467439,+91 11 2593 8880,,,matched_by_location
Suvidha Seva,28.5732388,77.2090211,,,,
Mayapuri Police Station,28.6267109,77.1215572,,,,
Police Post ISBT,28.6694198,77.2323235,,,,
Unnamed,28.5669719,77.3237677,,,,
"Police Chowki, Batra Complex, Mukherjee Nagar",28.7112625,77.2150326,,,Delhi Police,
"Police Chowki, Mukherjee Nagar Bandh",28.715409,77.2159937,,,Delhi Police,
Dr. Mukherjee Nagar Police Station,28.7000529,77.2088208,,,,
Unnamed,28.5826675,77.25304,,,,
Unnamed,28.5593548,77.2324817,,,,
Delhi Police Seva Kendra,28.5819346,77.2146901,,,,
Unnamed,28.5855227,77.2201421,,,,
Unnamed,28.6509253,77.2360244,,,Delhi Police,
Pink Booth,28.56817,77.2419945,,,,
Unnamed,28.6664277,77.2269535,,,,
Police Stn (Sec-40),28.4499365,77.0588707,,,,
Maangar Police Chowki,28.4068907,77.1923715,,,,
Nehru Place Police Station,28.5497122,77.2553709,,,,
CR Park Police Station,28.5367835,77.2495134,,,,
Police Station Sector-12,28.5932105,77.3407466,,,,
Unnamed,28.5352556,77.1517947,,,,
Unnamed,28.5341516,77.1429,,,,
Unnamed,28.5909304,77.028071,+91 87508 71022,,,matched_by_location
Saket Police Station,28.5233652,77.2083829,,,,
New Friends Colony PS,28.5625518,77.2674314,,,,
Unnamed,28.6748039,77.2850581,,,,
Roop Nagar Police Station,28.6850138,77.2021834,+91 11 2384 4632,,,matched_by_location
Unnamed,28.6116948,77.0768152,,,,
Unnamed,28.5308191,77.2656868,,,,
Unnamed,28.6300302,77.0679729,,,,
Unnamed,28.6688409,77.1836843,,,,
Daryaganj Police Station,28.6417309,77.2413386,,,,
Unnamed,28.4954346,77.0170789,,,,
Unnamed,28.5042019,77.0245269,,,,
Nishkam Seva Bhawan,28.6566706,77.1220336,,,,
Unnamed,28.5648054,77.0584391,+91 11 2805 1585,,,matched_by_location
Unnamed,28.6231116,77.3399689,,,,
DCP Shahdara District Office,28.6645906,77.286262,+91 11 2121 0801,,,matched_by_location
Unnamed,28.6425191,77.2260672,,,,
Police Station Timarpur,28.7069717,77.2244338,+91 11 2381 0073,,,matched_by_location
Unnamed,28.5328269,77.2194906,,,,
Unnamed,28.6254858,77.0648745,+91 11 2537 7425,,,matched_by_location
Unnamed,28.7070813,77.2041727,,,,
Unnamed,28.6541302,77.2107352,,,,
Unnamed,28.6251166,77.2446595,,,,
Police Station Paharganj,28.6454252,77.2090042,,,,
Unnamed,28.5779761,77.2599064,,,,
Unnamed,28.8531159,77.0879593,,,,
Hazrat Nizamuddin Police Station,28.5922683,77.243758,,,,
Unnamed,28.571113,77.1790899,,,,
Police Station Chankyapuri,28.6028019,77.1960131,,Police Station Chankyapuri Teen Murti Marg,Delhi Police,
Police Station South Rohini,28.7023381,77.1153645,+91 11 2751 0515,,,matched_by_location
Police station sec 9A,28.4702303,76.9951919,,,,
Keshav Puram Police Station,28.6838899,77.1595646,,,,
Mukherjee Nagar Police Station (Guru Tegh Bahadur Nagar),28.7002567,77.2092837,,Banda Bahadur Marg,,
Police Station Connaught Place,28.6298552,77.2141861,+91-11-2374-7100,,,
Welcome Police Station,28.6818244,77.2785179,,,,
Police Station Tilak Marg,28.6178784,77.235502,+91-11-2338-5571;+91-11-2338-2100,,,
Saket Police Station,28.5263479,77.2170694,+91 11 2956 1300,,,matched_by_location
Deputy Commissioner of Police Station South West District,28.5580159,77.1689932,,,Delhi Police,
Police Station Greater Kailash - 1,28.5543372,77.2322875,,,Delhi Police,
Unnamed,28.5306599,77.3188121,,,,
Commissioner Of Police,28.4551679,77.0299492,,,,
Jyoti Nagar Police Station,28.6963877,77.2911742,+91 11 2281 0524,C-324 Loni Road,Delhi Police,matched_by_location
Unnamed,28.4700122,76.9952105,,,,
Unnamed,28.539244,77.3404996,,,,
Police Station New Ashok Nagar,28.6037632,77.323488,,,,
Shakarpur Police Station,28.63741,77.270736,+91 11 2254 2992,,,matched_by_location
Police Station Jahangirpuri,28.7337106,77.1752915,+91 11 2763 1600;+91 11 2763 6000,,,
Unnamed,28.7428097,77.1655129,,,,
Aman Vihar Police Station,28.7178412,77.0649921,,,,
Crime Branch,28.7408079,77.1324661,,,,
Unnamed,28.7022782,77.2869046,,,,
Preet Vihar Police Station,28.6392583,77.2954152,,,,
Unnamed,28.6979957,77.2741174,,,,
Unnamed,28.6516078,77.1200477,+91 11 2545 3990,,,matched_by_location
kalindi kunj pollice station,28.5306599,77.3188121,,,delhi police,
Unnamed,28.5884292,77.1684119,,,,
Police Station Greater Kailash 1,28.546192,77.2431308,,,,
Delhi Cantt Police Station,28.5989741,77.1240103,,,Delhi Police,
Unnamed,28.4600978,77.0928815,,"Golf Course Road, Sector 43",,
Central Reserve Police Force Transit Camp,28.6409752,77.2244936,,,,
Police Station Model Town,28.7021524,77.1936257,+91 11 2745 6072,,,matched_by_location
Police Station Hauz Qazi,28.6498177,77.225785,,4964 Hauz Kazi Chowk,Delhi Police,
Police Station Rajiv Chowk Metro,28.6498297,77.2268232,+91-11-2327-9036,,,
Economic Offences Wing,28.6391352,77.2030923,,,Delhi Police,
Mandir Marg Police Station,28.6383443,77.2025704,,,Delhi Police,
Mandir Marg Police Station Complex,28.6387794,77.2026667,,,Delhi Police,
Maurice Nagar Police Station,28.6926981,77.2066803,+91 11 2766 7178,,Delhi Police,matched_by_location
"Police Chowki, Sector 18",28.5710129,77.3238501,,,,
"Police Chowki, Sector 18",28.5710129,77.3238501,,,,
Sector 53 Police Station,28.4463631,77.0980752,,,,
Cyber Crime Police Station Gurugram,28.4513188,77.0954546,,,,
New Ashoka Nagar Police Station Office,28.6028971,77.3128469,,,Delhi Police,
Integrated Police Booth,28.6886321,77.2097179,,,,
Pink Booth,28.6918014,77.2084096,+91 11 2766 7178,,,matched_by_location
Police Post,28.723857,77.1756171,,Shah Alam Bandh Marg Jahangirpuri,Delhi Police,
Mukherjee Nagar Police Station (Guru Tegh Bahadur Nagar),28.7000917,77.2092654,,Banda Bahadur Marg,,
