name,address,latitude,longitude,phone
Madhu Vihar and Mandawali Police Station,"Mother Dairy Marg, Vinod Nagar, I.P.Extension, New Delhi",28.624833,77.3063944,+91 11 2272 0808
Jagatpuri Police Station,"538/A, East Laxmi Market, Block C, Brij Puri, Krishna Nagar",28.643771500000003,77.2840574,+91 11 2242 362
Police Station Mayur Vihar Phase 1,"Trilok Puri Rd, Himmatpuri, Trilokpuri, New Delhi",28.6071444,77.304062,+91 11 2271 0335
Shakarpur Police Station,"Gali No. 10, Block N, Ramesh Park, Laxmi Nagar, New Delhi",28.6374948,77.2707281,+91 11 2254 2992
Police Station Kalyan Puri,"Mayur Vihar Phase-I, near Chand Cinema, Block 2, Delhi",28.613334899999998,77.3172558,+91 11 2277 2287
Police Station Laxmi Nagar,"Vishwakarma Park, Laxmi Nagar, Delhi",28.637313799999998,77.2705921,
Police Station New Ashok Nagar,"D-74, Gharoli Main Rd, Mayur Vihar Phase III, New Delhi",28.6037711,77.3235165,
Police Station Krishna Nagar,"B-81, Gali No. 8, Kanti Nagar South, Seelampur, Shahdara",28.6672573,77.28021509999999,+91 22093887
Police Station Patparganj Industrial Area,"Isbt Anand Vihar, Anand Vihar, Delhi",28.6450979,77.3158199,
Police Station Dwarka North,"Pocket A2, Pocket B, Sector 17 Dwarka, Dwarka, Delhi",28.590923099999998,77.0283561,+91 87508 71022
Police Station Dwarka South,"near ITL Public School, Dwarka Sector 9, New Delhi",28.5781133,77.0667794,+91 11 2508 9326
Police Station Dwarka Sector 23,"Sector 23, Dwarka, New Delhi",28.564510100000003,77.0589427,+91 11 2805 1585
Police Chowki Sec 1 Dwarka,"Mahavir Enclave, Sector 1 Dwarka, Palam, Delhi",28.5948438,77.0730739,+91 11 2808 2686
Police Station Dwarka Court,"Sector 10 Dwarka, Dwarka, Delhi",28.5810207,77.0584264,
Dwarka Sector 21 Police Check Post,"Service Rd, Sector 21, Dwarka, New Delhi",28.5512175,77.05641299999999,
Police Chowki Sector 3 Dwarka,"Sector 13 Main Rd, Phase 2, Sector 13, Dwarka, New Delhi",28.6030923,77.03501059999999,
Palam Police Station,"Palam Village Rd, Puran Nagar, Raj Nagar I, Palam, New Delhi",28.5880587,77.0829873,+91 11 2536 5980
Dabri Police Station,"Block E, Sitapuri Part 1, Dabri, New Delhi",28.612888299999998,77.0857544,+91 87508 71024
Police Station Rohini South,"Yogashram Marg, near Mangalam Place, Institutional Area, Rohini",28.7024649,77.1153212,+91 11 2751 0515
Police Station Begumpur,"Dahiya Badshah Marg, Rohini Extension, Sector 23, Rohini",28.7223706,77.0722433,+91 11 2757 9029
PS K N Katju Marg,"Dr. KN Katju Marg, Block G-3, Sector 16, Rohini",28.7311767,77.1216359,+91 11 2757 1171
Aman Vihar Police Station,"Pocket 5, Sector 22, Rohini",28.7183061,77.0643621,
Metro Police Station,"Rohini Institutional Area, Sector 5, Rohini",28.7200245,77.1077669,+91 11 2705 8384
Prashant Vihar Police Station,"Shaheed Colonel Guruveer Singh Sarna Marg, Sector 9, Rohini",28.7179859,77.127254,+91 11 2755 7184
Police Station Shahdara,"Grand Trunk Rd, Navin Shahdara, Shahdara",28.6744479,77.2851421,
Police Station Farsh Bazar-Shahdara District,"Sunder Park, Shahdara, New Delhi",28.6654048,77.2866517,
Mansarovar Park Police Station,"Dda Market, Mansarovar Park, Shahdara",28.6829528,77.2985036,+91 11 2259 9374
Police Station Jyoti Nagar,"C-324, Loni Rd, Kardam Puri Extension, Shahdara",28.6965234,77.2913826,+91 11 2281 0524
Police Station Anand Vihar,"Maharaja Surajmal Marg, Karkardooma, Shahdara",28.6541672,77.2934096,+91 11 2214 0181
DCP Shahdara District Office,"469, Peela Mandir Rd, Shalimar Park, Shahdara",28.6653265,77.2867212,+91 11 2121 0801
Gandhi Nagar Police Station,"Gandhi Nagar Main Rd, Seelampur, Shahdara",28.6599344,77.2671545,
Prasad Nagar Police Station,"30, Tank Rd, Prasad Nagar, Karol Bagh",28.6478823,77.1807615,+91 11 2587 4034
Police Station Karol Bagh,"2682/1, Ajmal Khan Rd, Beadonpura, Karol Bagh",28.6523644,77.19293,
Police Station Najafgarh,"Najafgarh Thana Rd, Najafgarh",28.609976,76.9828648,+91 11 2501 6200
Police Station Chhawla,"Najafgarh Kapashera Rd, Deenpur, Najafgarh",28.5868886,76.9949589,+91 11 2531 6300
